targetId,drugId,maxClinicalStage
ENSG00000277893,CHEMBL710,APPROVAL
ENSG00000043591,CHEMBL24,APPROVAL
ENSG00000142319,CHEMBL904,APPROVAL
ENSG00000103546,CHEMBL904,APPROVAL
ENSG00000150594,CHEMBL134,APPROVAL
ENSG00000274286,CHEMBL134,APPROVAL
ENSG00000184160,CHEMBL134,APPROVAL
ENSG00000169252,CHEMBL499,APPROVAL
ENSG00000043591,CHEMBL499,APPROVAL
ENSG00000196639,CHEMBL1200618,APPROVAL
ENSG00000043591,CHEMBL2356097,APPROVAL
ENSG00000070915,CHEMBL1055,APPROVAL
ENSG00000159640,CHEMBL1519,APPROVAL
ENSG00000082556,CHEMBL4297091,APPROVAL
ENSG00000112038,CHEMBL4297091,APPROVAL
ENSG00000116329,CHEMBL4297091,APPROVAL
ENSG00000160712,CHEMBL1237022,APPROVAL
ENSG00000184160,CHEMBL654,APPROVAL
ENSG00000147246,CHEMBL654,APPROVAL
ENSG00000150594,CHEMBL654,APPROVAL
ENSG00000102468,CHEMBL654,APPROVAL
ENSG00000274286,CHEMBL654,APPROVAL
ENSG00000166828,CHEMBL585,APPROVAL
ENSG00000168447,CHEMBL585,APPROVAL
ENSG00000111319,CHEMBL585,APPROVAL
ENSG00000043591,CHEMBL2062335,APPROVAL
ENSG00000171189,CHEMBL220492,APPROVAL
ENSG00000125675,CHEMBL220492,APPROVAL
ENSG00000145864,CHEMBL220492,APPROVAL
ENSG00000022355,CHEMBL220492,APPROVAL
ENSG00000011677,CHEMBL220492,APPROVAL
ENSG00000145863,CHEMBL220492,APPROVAL
ENSG00000168356,CHEMBL220492,APPROVAL
ENSG00000182256,CHEMBL220492,APPROVAL
ENSG00000094755,CHEMBL220492,APPROVAL
ENSG00000144285,CHEMBL220492,APPROVAL
ENSG00000152578,CHEMBL220492,APPROVAL
ENSG00000136531,CHEMBL220492,APPROVAL
ENSG00000183873,CHEMBL220492,APPROVAL
ENSG00000120251,CHEMBL220492,APPROVAL
ENSG00000149403,CHEMBL220492,APPROVAL
ENSG00000136546,CHEMBL220492,APPROVAL
ENSG00000166206,CHEMBL220492,APPROVAL
ENSG00000169432,CHEMBL220492,APPROVAL
ENSG00000187730,CHEMBL220492,APPROVAL
ENSG00000196876,CHEMBL220492,APPROVAL
ENSG00000104267,CHEMBL220492,APPROVAL
ENSG00000102287,CHEMBL220492,APPROVAL
ENSG00000151834,CHEMBL220492,APPROVAL
ENSG00000167434,CHEMBL220492,APPROVAL
ENSG00000163285,CHEMBL220492,APPROVAL
ENSG00000007314,CHEMBL220492,APPROVAL
ENSG00000163873,CHEMBL220492,APPROVAL
ENSG00000155511,CHEMBL220492,APPROVAL
ENSG00000105737,CHEMBL220492,APPROVAL
ENSG00000153253,CHEMBL220492,APPROVAL
ENSG00000268089,CHEMBL220492,APPROVAL
ENSG00000163288,CHEMBL220492,APPROVAL
ENSG00000186297,CHEMBL220492,APPROVAL
ENSG00000113327,CHEMBL220492,APPROVAL
ENSG00000164418,CHEMBL220492,APPROVAL
ENSG00000185313,CHEMBL220492,APPROVAL
ENSG00000109158,CHEMBL220492,APPROVAL
ENSG00000103546,CHEMBL1702,APPROVAL
ENSG00000074803,CHEMBL35,APPROVAL
ENSG00000104267,CHEMBL220491,APPROVAL
ENSG00000043591,CHEMBL1200870,APPROVAL
ENSG00000169252,CHEMBL1200870,APPROVAL
ENSG00000179546,CHEMBL128,APPROVAL
ENSG00000135312,CHEMBL128,APPROVAL
ENSG00000113161,CHEMBL1064,APPROVAL
ENSG00000273079,CHEMBL1569,APPROVAL
ENSG00000176884,CHEMBL1569,APPROVAL
ENSG00000116032,CHEMBL1569,APPROVAL
ENSG00000105464,CHEMBL1569,APPROVAL
ENSG00000198785,CHEMBL1569,APPROVAL
ENSG00000183454,CHEMBL1569,APPROVAL
ENSG00000161509,CHEMBL1569,APPROVAL
ENSG00000112038,CHEMBL1707,APPROVAL
ENSG00000179546,CHEMBL1201150,APPROVAL
ENSG00000135312,CHEMBL1201150,APPROVAL
ENSG00000112038,CHEMBL1200825,APPROVAL
ENSG00000196639,CHEMBL1620,APPROVAL
ENSG00000095303,CHEMBL1200804,APPROVAL
ENSG00000073756,CHEMBL1200804,APPROVAL
ENSG00000149295,CHEMBL728,APPROVAL
ENSG00000143153,CHEMBL1751,APPROVAL
ENSG00000129244,CHEMBL1751,APPROVAL
ENSG00000105409,CHEMBL1751,APPROVAL
ENSG00000137731,CHEMBL1751,APPROVAL
ENSG00000069849,CHEMBL1751,APPROVAL
ENSG00000018625,CHEMBL1751,APPROVAL
ENSG00000163399,CHEMBL1751,APPROVAL
ENSG00000132681,CHEMBL1751,APPROVAL
ENSG00000150594,CHEMBL1200323,APPROVAL
ENSG00000170214,CHEMBL1200323,APPROVAL
ENSG00000274286,CHEMBL1200323,APPROVAL
ENSG00000188778,CHEMBL1200323,APPROVAL
ENSG00000043591,CHEMBL1200323,APPROVAL
ENSG00000120907,CHEMBL1200323,APPROVAL
ENSG00000169252,CHEMBL1200323,APPROVAL
ENSG00000171873,CHEMBL1200323,APPROVAL
ENSG00000184160,CHEMBL1200323,APPROVAL
ENSG00000082175,CHEMBL1201146,APPROVAL
ENSG00000091831,CHEMBL691,APPROVAL
ENSG00000091831,CHEMBL135,APPROVAL
ENSG00000116329,CHEMBL1718,APPROVAL
ENSG00000082556,CHEMBL1718,APPROVAL
ENSG00000112038,CHEMBL1718,APPROVAL
ENSG00000147955,CHEMBL3989510,APPROVAL
ENSG00000152402,CHEMBL136478,APPROVAL
ENSG00000164116,CHEMBL136478,APPROVAL
ENSG00000061918,CHEMBL136478,APPROVAL
ENSG00000158125,CHEMBL1467,APPROVAL
ENSG00000187486,CHEMBL472,APPROVAL
ENSG00000006071,CHEMBL472,APPROVAL
ENSG00000112038,CHEMBL6067642,APPROVAL
ENSG00000116329,CHEMBL6067642,APPROVAL
ENSG00000082556,CHEMBL6067642,APPROVAL
ENSG00000137869,CHEMBL1444,APPROVAL
ENSG00000232810,CHEMBL1201580,APPROVAL
ENSG00000133019,CHEMBL2134724,APPROVAL
ENSG00000169252,CHEMBL714,APPROVAL
ENSG00000103546,CHEMBL1200724,APPROVAL
ENSG00000074803,CHEMBL1148,APPROVAL
ENSG00000170214,CHEMBL1200339,APPROVAL
ENSG00000171873,CHEMBL1200339,APPROVAL
ENSG00000120907,CHEMBL1200339,APPROVAL
ENSG00000159640,CHEMBL1560,APPROVAL
ENSG00000112038,CHEMBL2103744,APPROVAL
ENSG00000103546,CHEMBL1201066,APPROVAL
ENSG00000108576,CHEMBL1201066,APPROVAL
ENSG00000151623,CHEMBL1393,APPROVAL
ENSG00000133019,CHEMBL3545181,APPROVAL
ENSG00000169252,CHEMBL2105743,APPROVAL
ENSG00000113580,CHEMBL384467,APPROVAL
ENSG00000100346,CHEMBL696,APPROVAL
ENSG00000196557,CHEMBL696,APPROVAL
ENSG00000006283,CHEMBL696,APPROVAL
ENSG00000093010,CHEMBL953,APPROVAL
ENSG00000160868,CHEMBL163,APPROVAL
ENSG00000106258,CHEMBL163,APPROVAL
ENSG00000160870,CHEMBL163,APPROVAL
ENSG00000021461,CHEMBL163,APPROVAL
ENSG00000142319,CHEMBL1373,APPROVAL
ENSG00000055118,CHEMBL473,APPROVAL
ENSG00000173198,CHEMBL1200681,APPROVAL
ENSG00000196639,CHEMBL3989555,APPROVAL
ENSG00000122420,CHEMBL1200963,APPROVAL
ENSG00000159640,CHEMBL1694,APPROVAL
ENSG00000082175,CHEMBL103,APPROVAL
ENSG00000113580,CHEMBL989,APPROVAL
ENSG00000082175,CHEMBL717,APPROVAL
ENSG00000126895,CHEMBL344159,APPROVAL
ENSG00000118972,CHEMBL3707326,APPROVAL
ENSG00000112038,CHEMBL1201132,APPROVAL
ENSG00000082556,CHEMBL1201132,APPROVAL
ENSG00000116329,CHEMBL1201132,APPROVAL
ENSG00000173198,CHEMBL603,APPROVAL
ENSG00000095303,CHEMBL1201124,APPROVAL
ENSG00000073756,CHEMBL1201124,APPROVAL
ENSG00000108576,CHEMBL1201082,APPROVAL
ENSG00000112038,CHEMBL596,APPROVAL
ENSG00000145863,CHEMBL661,APPROVAL
ENSG00000187730,CHEMBL661,APPROVAL
ENSG00000022355,CHEMBL661,APPROVAL
ENSG00000151834,CHEMBL661,APPROVAL
ENSG00000268089,CHEMBL661,APPROVAL
ENSG00000011677,CHEMBL661,APPROVAL
ENSG00000109158,CHEMBL661,APPROVAL
ENSG00000145864,CHEMBL661,APPROVAL
ENSG00000166206,CHEMBL661,APPROVAL
ENSG00000163285,CHEMBL661,APPROVAL
ENSG00000163288,CHEMBL661,APPROVAL
ENSG00000102287,CHEMBL661,APPROVAL
ENSG00000186297,CHEMBL661,APPROVAL
ENSG00000113327,CHEMBL661,APPROVAL
ENSG00000182256,CHEMBL661,APPROVAL
ENSG00000094755,CHEMBL661,APPROVAL
ENSG00000256713,CHEMBL6067980,APPROVAL
ENSG00000128602,CHEMBL3137317,APPROVAL
ENSG00000122420,CHEMBL1200799,APPROVAL
ENSG00000147246,CHEMBL715,APPROVAL
ENSG00000069696,CHEMBL715,APPROVAL
ENSG00000149295,CHEMBL715,APPROVAL
ENSG00000151577,CHEMBL715,APPROVAL
ENSG00000102468,CHEMBL715,APPROVAL
ENSG00000147246,CHEMBL3188993,APPROVAL
ENSG00000102468,CHEMBL3188993,APPROVAL
ENSG00000149295,CHEMBL3188993,APPROVAL
ENSG00000015520,CHEMBL1138,APPROVAL
ENSG00000274286,CHEMBL1256958,APPROVAL
ENSG00000169252,CHEMBL1256958,APPROVAL
ENSG00000043591,CHEMBL1256958,APPROVAL
ENSG00000188778,CHEMBL1256958,APPROVAL
ENSG00000184160,CHEMBL1256958,APPROVAL
ENSG00000171873,CHEMBL1256958,APPROVAL
ENSG00000150594,CHEMBL1256958,APPROVAL
ENSG00000170214,CHEMBL1256958,APPROVAL
ENSG00000120907,CHEMBL1256958,APPROVAL
ENSG00000007314,CHEMBL1200396,APPROVAL
ENSG00000022355,CHEMBL3989820,APPROVAL
ENSG00000113327,CHEMBL3989820,APPROVAL
ENSG00000163288,CHEMBL3989820,APPROVAL
ENSG00000006071,CHEMBL1073,APPROVAL
ENSG00000187486,CHEMBL1073,APPROVAL
ENSG00000091831,CHEMBL1511,APPROVAL
ENSG00000166736,CHEMBL1237080,APPROVAL
ENSG00000115252,CHEMBL932,APPROVAL
ENSG00000171408,CHEMBL932,APPROVAL
ENSG00000154678,CHEMBL932,APPROVAL
ENSG00000113231,CHEMBL932,APPROVAL
ENSG00000132915,CHEMBL932,APPROVAL
ENSG00000112759,CHEMBL932,APPROVAL
ENSG00000123360,CHEMBL932,APPROVAL
ENSG00000205268,CHEMBL932,APPROVAL
ENSG00000065989,CHEMBL932,APPROVAL
ENSG00000139053,CHEMBL932,APPROVAL
ENSG00000172572,CHEMBL932,APPROVAL
ENSG00000184588,CHEMBL932,APPROVAL
ENSG00000112541,CHEMBL932,APPROVAL
ENSG00000105650,CHEMBL932,APPROVAL
ENSG00000156973,CHEMBL932,APPROVAL
ENSG00000160191,CHEMBL932,APPROVAL
ENSG00000152270,CHEMBL932,APPROVAL
ENSG00000185527,CHEMBL932,APPROVAL
ENSG00000113448,CHEMBL932,APPROVAL
ENSG00000073417,CHEMBL932,APPROVAL
ENSG00000186642,CHEMBL932,APPROVAL
ENSG00000095464,CHEMBL932,APPROVAL
ENSG00000133256,CHEMBL932,APPROVAL
ENSG00000138735,CHEMBL932,APPROVAL
ENSG00000146143,CHEMBL1096882,APPROVAL
ENSG00000175482,CHEMBL1096882,APPROVAL
ENSG00000014138,CHEMBL1096882,APPROVAL
ENSG00000198056,CHEMBL1096882,APPROVAL
ENSG00000177084,CHEMBL1096882,APPROVAL
ENSG00000077514,CHEMBL1096882,APPROVAL
ENSG00000167325,CHEMBL1096882,APPROVAL
ENSG00000106628,CHEMBL1096882,APPROVAL
ENSG00000048392,CHEMBL1096882,APPROVAL
ENSG00000171848,CHEMBL1096882,APPROVAL
ENSG00000101868,CHEMBL1096882,APPROVAL
ENSG00000062822,CHEMBL1096882,APPROVAL
ENSG00000148229,CHEMBL1096882,APPROVAL
ENSG00000100479,CHEMBL1096882,APPROVAL
ENSG00000095303,CHEMBL25,APPROVAL
ENSG00000073756,CHEMBL25,APPROVAL
ENSG00000117601,CHEMBL1201657,APPROVAL
ENSG00000170425,CHEMBL1355736,APPROVAL
ENSG00000282608,CHEMBL1355736,APPROVAL
ENSG00000172572,CHEMBL1355736,APPROVAL
ENSG00000152270,CHEMBL1355736,APPROVAL
ENSG00000184588,CHEMBL1355736,APPROVAL
ENSG00000113448,CHEMBL1355736,APPROVAL
ENSG00000163485,CHEMBL1355736,APPROVAL
ENSG00000105650,CHEMBL1355736,APPROVAL
ENSG00000128271,CHEMBL1355736,APPROVAL
ENSG00000065989,CHEMBL1355736,APPROVAL
